"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr19725","Burnett Koala Program","","Burnett Koala Program: Burnett Catchment Care Association (2022) Burnett Koala Program dataset
","other","For more information: https://collections.ala.org.au/public/show/dr19725","","","","24"
"dr14477","Annual  community koala surveys North Stradbroke Island Townships","10.15468/ecj2ja","North Stradbroke Island townships annual community survey – Redland City Council and community volunteers","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr14477","","","","689"
"co157","Queen Victoria Museum and Art Gallery - Mammals","","Records provided by Queen Victoria Museum and Art Gallery - Mammals, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co157","","","","3"
"co274","Museums Victoria DNA Laboratory","","Records provided by Museums Victoria DNA Laboratory, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co274","","","","84"
"dr11049","Martin Butterfield Mallacoota Observations","10.15468/vv31t9","Martin Butterfield, Mallacoota Observations, 2019","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Martin Butterfield","For more information: https://collections.ala.org.au/public/show/dr11049","","","","9"
"dp52","Questagame","","Records provided by Questagame, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp52","","","","901"
"co150","Queensland Museum Mammals","","Records provided by Queensland Museum Mammals, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co150","","","","694"
"dr10631","Geelong Field Naturalists Club","10.15468/gwji3b","Records provided by Geelong Field Naturalists Club, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr10631","","","","138"
"dr22499","Museum of Comparative Zoology, Harvard University","10.15468/p5rupv","doi:10.15468/p5rupv","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr22499","","","","16"
"dr1097","Victorian Biodiversity Atlas","10.15468/khlfs3","Records provided by Victorian Biodiversity Atlas, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Copyright in the data and materials resides with the copyright owners as indicated next to the detailed records. In any reproduction, distribution or publication of the data, or in any use or adaptation of the data to create derivative works, the user must include a citation which attributes the source of the data and the date the data was published, as follows: Data Source: 'Victorian Biodiversity Atlas', © The State of Victoria, Department of Environment and Primary Industries (published [month, year]). Data Source: 'Victorian Biodiversity Atlas', (c) The State of Victoria, Department of Environment, Land, Water & Planning (published [month, year]). 
        Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int) 4.0)","For more information: https://collections.ala.org.au/public/show/dr1097","","","","12711"
"co118","Museums Victoria Mammalogy Collection","","Records provided by Museums Victoria Mammalogy Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co118","","","","606"
"dr13823","OWAD Environment detection dogs Koala records","10.15468/67pbns","Woosnam O, Dudkowski A, and professional detection dogs (OWAD Environment). Koala and Quoll records collected during studies conducted by OWAD Environment.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr13823","","","","1374"
"dp3301","NatureMapr","","Records provided by NatureMapr, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3301","","","","401"
"dr6463","Great Koala Count 2","10.15468/zj23oo","Great Koala Count 2, (https://biocollect.ala.org.au/acsa/project/index/88f6c3b8-e2ab-4f04-97bc-881e84204bfc)","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr6463","","","","8"
"dr1132","WildNet - Queensland Wildlife Data","10.15468/lxgoyb","The State of Queensland DETSI (2025) WildNet.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1132","","Data not approved for public release","","70174"
"dr344","Queensland Museum provider for OZCAM","10.15468/lotsye","Queensland Museum, http://www.qm.qld.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr344","","","","694"
"dr343","Northern Territory Museum and Art Gallery provider for OZCAM","10.15468/giro3a","Northern Territory Museum and Art Gallery, https://www.magnt.net.au/","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr343","","","","14"
"dr346","South Australian Museum Adelaide provider for OZCAM","10.15468/wz4rrh","South Australian Museum, http://www.samuseum.sa.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr346","","","","99"
"dp3903","BioCollect","","Records provided by BioCollect, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3903","","","","6619"
"dr1411","iNaturalist Australia","","iNaturalist.org: iNaturalist Research-grade Observations. doi:10.15468/ab3s5x
Accessed via http://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7 on 2017-03-16","","For more information: https://collections.ala.org.au/public/show/dr1411","","","","32547"
"dr345","Queen Victoria Museum Art Gallery provider for OZCAM","10.15468/tedfxn","Queen Victoria Museum and Art Gallery, http://www.qvmag.tas.gov.au/","Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int)) Queen Victoria Museum and Art Gallery, http://www.qvmag.tas.gov.au/ Queen Victoria Museum and Art Gallery, http://www.qvmag.tas.gov.au/ 
        Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int) 4.0)","For more information: https://collections.ala.org.au/public/show/dr345","","","","3"
"dr340","Australian Museum provider for OZCAM","10.15468/e7susi","Records provided by Australian Museum provider for OZCAM, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Australian Museum,https://australian.museum/ Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr340","","","","3224"
"in22","South Australian Museum","","Records provided by South Australian Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in22","","","","99"
"in444","OWAD Environment","","Records provided by OWAD Environment, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in444","","","","2727"
"dr31884","Collective non-invasive Koala DNA sampling database — Qld & NSW","10.15468/gj36jb","Records provided by Collective non-invasive Koala DNA sampling database — Qld & NSW, accessed through ALA website.","Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr31884","","","","1353"
"dr342","Museums Victoria provider for OZCAM","10.15468/lp1ctu","Museums Victoria, http://museumvictoria.com.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr342","","","","690"
"dp3227","FieldData / Biological Data Recording System","","Records provided by FieldData / Biological Data Recording System, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3227","","","","3014"
"dr341","Australian National Wildlife Collection provider for OZCAM","10.15468/gscnac","Australian National Wildlife Collection, CSIRO, http://www.csiro.au/","CC-BY Data is available under the Creative Commons Attribution 3.0 Australia license.  Sound files associated with specimen records are not available for download and re-use. Please contact the Australian National Wildlife Collection for more information.","For more information: https://collections.ala.org.au/public/show/dr341","","","","59"
"dr348","Western Australian Museum provider for OZCAM","10.15468/5qt0dm","Records provided by Western Australian Museum provider for OZCAM, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Western Australian Museum, http://www.museum.wa.gov.au/","For more information: https://collections.ala.org.au/public/show/dr348","","","","6"
"dr17831","Northern Rivers Koala Habitat Restoration Project","10.15468/ckgeye","Northern Rivers Koala - combined site and work description: Department of Planning and Environment - Environment and Heritage (2025) Northern Rivers Koala - combined site and work description dataset
Northern Rivers Koala Habitat Restoration - Vegetation Monitoring: Department of Planning and Environment - Environment and Heritage (2025) Northern Rivers Koala Habitat Restoration - Vegetation Monitoring dataset
Northern Rivers Koala Habitat Restoration - Work Progress and Follow-up: Department of Planning and Environment - Environment and Heritage (2025) Northern Rivers Koala Habitat Restoration - Work Progress and Follow-up dataset
Northern Rivers Koala Habitat Restoration - Vegetation Monitoring Design: Department of Planning and Environment - Environment and Heritage (2025) Northern Rivers Koala Habitat Restoration - Vegetation Monitoring Design dataset
Northern Rivers Koala - Work Progress and Follow-up: Department of Planning and Environment - Environment and Heritage (2025) Northern Rivers Koala - Work Progress and Follow-up dataset
Northern Rivers Koala - Vegetation Monitoring: Department of Planning and Environment - Environment and Heritage (2025) Northern Rivers Koala - Vegetation Monitoring dataset
","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr17831","","","","1"
"dp42","Global Biodiversity Information Facility","","Records provided by Global Biodiversity Information Facility, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp42","","","","288"
"dr2592","Logan City Council Species Sightings","10.15468/pxqupc","Records provided by Logan City Council Species Sightings, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Logan City Council, Queensland","For more information: https://collections.ala.org.au/public/show/dr2592","","","","682"
"in4","Australian Museum","","Records provided by Australian Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in4","","","","3224"
"dr4652","Redland City Council Citizen Science Portal","10.15468/6b6dtg","Redland City Council Citizen Science Portal","CC-BY Redland City Council","For more information: https://collections.ala.org.au/public/show/dr4652","","","","717"
"dr30608","Auckland Museum Land Vertebrates Collection","10.15468/xmpo2s","Erickson R, Galbraith J, Hoare B (2025). Auckland Museum Land Vertebrates Collection. Version 1.14. Auckland War Memorial Museum. Occurrence dataset https://doi.org/10.15468/xmpo2s accessed via GBIF.org on 2025-03-11.","CC BY","For more information: https://collections.ala.org.au/public/show/dr30608","","","","1"
"in6","Commonwealth Scientific and Industrial Research Organisation","","Records provided by Commonwealth Scientific and Industrial Research Organisation, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in6","","","","59"
"dr893","BowerBird","","Records provided by BowerBird, accessed through ALA website.","Creative Commons - license at record level (Creative Commons - license at record level) The rights of material uploaded by users to the BowerBird website are owned by those users. Each user will nominate the type of license that can apply to their content - BowerBird encourages the Creative Commons License but users have the right to deny use of their content. Please respect the license wishes of the user's content.

For all other material, including the content, design and source code of BowerBird other than user-contributed material, is under the Open Source and Creative Commons licenses. You may use this material.","For more information: https://collections.ala.org.au/public/show/dr893","","","","55"
"dr499","AWC Ecological Monitoring Surveys","10.15468/h53g6h","Australian Wildlife Conservancy (2025) Fauna Records. Australian Wildlife Conservancy, Subiaco, WA","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr499","","","","14"
